Team,UserID,EmailHash,Mentors
"A1: Up Get App/CitiCERN",31,"84dccf78803682c4a336955806c5d33d4cdbc90b8b3d033e20f50b9229b88ac3","Ping,Jose"
"A1: Up Get App/CitiCERN",25,"1991d1507badfbbf6ad90b6d5fc3bcbf115ecf4827400d5d62b2f25ff2b2f18b","Ping,Jose"
"A2: Women & Technology Against Climate Change",30,"8eafbbb372954dfed652cc1eac4529515ca771008fb1fe6dd67bb0158dae3f23","Amudha,Jose"
"A2: Women & Technology Against Climate Change",36,"0102eda8e45af8edd703a97309c737d93271bf638950f9dfc970e9bfb808ce61","Amudha,Jose"
"A2: Women & Technology Against Climate Change",24,"4d1536bba97e1c168d66ea2babd5cfba99d48126783428f652d1663e7268f566","Amudha,Jose"
"A3: Rhythm of Bamboos",16,"c91856df840ea68862fbce009783470a79866416df325629991523dfbac052b2","Franzi,Francois"
"A3: Rhythm of Bamboos",88,"c8e099af4e314521c33071fae54b3fa46e56394415131435b7c17005540d8553","Franzi,Francois"
"A4: Flood Rangers",20,"952c6ded4f13a18a11ac54d5f4aaeedc1d17e45226635025941914d859cfe28a","Amudha,Hafiz"
"A4: Flood Rangers",14,"c0afde66334802af10cf22de948ef7488ce83f9a29b9cf17f12633fc10304416","Amudha,Hafiz"
"A5: Donate Water Project",8,"ebab8637d6502c42ecac6add88d689be1d0827f17ea6d1de4f48f0046984b875","Franzi,Francois"
"A5: Donate Water Project",10,"ea9c5fb0494140c9d9d5172863c96b7a2468e6008aca30c397d4a5d42f452e00","Franzi,Francois"
"A5: Donate Water Project",15,"115c50b79296ab7d32c651fafefe7dc5b4b1920744545f3c35c0338bc30b5df6","Franzi,Francois"
"A5: Donate Water Project",28,"c5b8e64a9f2acf776ccc200707f161e5fe4320339fe3483baaf774069371516a","Franzi,Francois"
"B1: Water Warriors",26,"80339f4c3c45bdb2d6b9195891c50f19a90ea7e88fd544d49f258e5ca609b514","Ping,Laura"
"B1: Water Warriors",29,"2f5d2316209ff8aaa25db8842ebcace415ff8ffcc76eccc1aebf047cf63dd22d","Ping,Laura"
"B1: Water Warriors",18,"aadb1e58fc4752f0a6899bcda28f4b03b21d3ad96cca71885d5a1a326cb2708a","Ping,Laura"
"B2: TEAM FOILED",13,"1e3aedd5964c695f29030996064e85760e87d7fbd3951d29e166a22799fc23de","Amudha,Hafiz"
"B2: TEAM FOILED",4,"48cc4f1c2f87779b2f1868a28f97036370570f3e5f333efcc48b16cc0f5ade7f","Amudha,Hafiz"
"B2: TEAM FOILED",22,"21a2ec3a9f00e5cf1b4b8d2f92bd18a7d843b29a0d388a18ef510b38ec97d122","Amudha,Hafiz"
"B3: Eco Winners",12,"e693458c5e96b3121d8663ed9b8804026f6a400a0337331b7e7b10758dcc4007","Chiagozie,Laura"
"B3: Eco Winners",27,"4d6974b0b3a52fd52c7ee8e2528e6afd78cab99156e63158eb777b1bd8d01b68","Chiagozie,Laura"
"B3: Eco Winners",9,"dd013caa35e3f242dc764324e0c8dd542d481b0d0d3e2bae27d5173d7e2832e0","Chiagozie,Laura"
"B4: Women 4 Sustainable World",41,"7f5b9f62064252004890e629f939a2f91a1d371556fccaaf749e38027f0a71b4","Franzi,Rosy,Oguz"
"B4: Women 4 Sustainable World",23,"b4a44ae8b028ab836afc0fa4db1796fcf477a7049438defbe6015bdf526a920b","Franzi,Rosy,Oguz"
"B5: Rights of Climate",19,"2dad67f40dd413877a6cea87d6ea9084bad0a6a31ec0fe9de49a44e8beaa9ce5","Chiagozie,Stephanie"
"B5: Rights of Climate",32,"fd2c22f15c3b2b221b0d355f24c296bc46b524a50fb38c54e729ee0372c83ca8","Chiagozie,Stephanie"
"C1: Andapé Institute",37,"9d73b2f2e20710fe29de5491bc8b023f6a0d76938d7f8ba071b633d37d7ade71","Franzi,Valentina Rossi,Rosy"
"C1: Andapé Institute",38,"78aba3bb507697527e86431880e3ac7a146c16ee39a0496c828c3e292151d7d8","Franzi,Valentina Rossi,Rosy"
"C1: Andapé Institute",39,"786b78cc2917230415d746ccc3e0c7989b2782cbf37372584a4bd0402d3672a1","Franzi,Valentina Rossi,Rosy"
"C2: PAM",6,"ac7ca0726b908452d4565f2aa19be9e59bc9d11a32a8da9fc6a4d8b4a3af23e4","Ping,Laura"
"C2: PAM",21,"91332d34b541e8faec3343b683c7542d7de62fb0e1c60a55932b39bc164edccf","Ping,Laura"
"C2: PAM",33,"54fb998e4e8f93aa15e669df3e9a69911c09858e3407b120fd41f16ded297d49","Ping,Laura"
"C3: WOMER",40,"a34ddd655850290959128bd3833b40facafa338fc7c3e7115fe507b6f3d2d534","Amudha,Rosy,Oguz"
"C3: WOMER",7,"90658f5921bcd3dcd4164739ba2906d8ebd8e19eae5f4f21072b9723465f8ac8","Amudha,Rosy,Oguz"
"C4: Climate Gender Justice",11,"8324a2d2bd1d2c892a7e354355b2825a71f0531cef4af4886b07e4a01bfc4998","Chiagozie,Jose"
"C4: Climate Gender Justice",5,"b826349655333bdb9e3063ae7250a0d5c5f19429bcf4b0213c26dfef35464eda","Chiagozie,Jose"
"C4: Climate Gender Justice",17,"f7ef22769cc3f885d7a96038301c2dd7204594646e9c8036c89f2758913cd7e2","Chiagozie,Jose"
"C5: Ashifa Nazrin",87,"36ec6c312c9faaf6e388ce83bf8faecfa5e79e98059dbca3853b269c82c84be8",""
"Organizing Team",46,"5acdb21883f129edb995019a2f7559553549a4ee4cdc66311c7055a61c583ae8",""
"Organizing Team",47,"e953d20b3e09b53a579c9b50520d4b597b39e72dfac7c852b72dd98c84a62b85",""
"Organizing Team",42,"fbaf9a4acdee5e2efb72b41dab9d8e65eebd26d81e1fe5258d765755ceceb197",""
"Organizing Team",43,"f4d74ccdbac07da76770ec8c186d4b1039bc1289f41bca40fd817a3b2f964a4a",""
"Organizing Team",44,"809be67b035c478897f065e512deb514bfea65254e25e4b61cbefdb5e0225dce",""
"Organizing Team",45,"027958f8a9beba194020404530744bb980f894215138427867a1101c8b00c317",""
"Organizing Team",48,"05e9766488c5702dca07467238edee754ebcbc82c0b548f1ac3207693e8f89ee",""
"Organizing Team",49,"3b253069e6f943df1d8d2fd5e5d29ad1cad7ca27cf4242006e77e1231533f27e",""
"Organizing Team",50,"45f814bc11977bb638b5c69f4f4137ba7631a463f67c1954a060538582d3dc39",""
"Organizing Team",51,"fc990de1ca9df5ec6064d33211e24d0b58b869bf46356f93fec56fc89df299dc",""
"Organizing Team",52,"b532144e06c985674508c2c4095b527d32e1baf5391dc26e18ae27ee95a63942",""
"Organizing Team",89,"2d6c706ba83870245f003cecd24a65e2a42dd4c20bcc8718dd88a6b9c49f51c4",""
"Organizing Team",90,"3a0c487cd92daccdad513de6c7783ca8cf7a0e6d8056fd4e326618a662e04773",""
"Organizing Team",91,"6c974089aff68e1fdc26abced5e541c28ead4b0042f564cd65e92f24ea11f7f2",""
"Organizing Team",92,"c730a1d97b3941e1efd32aa8f7899fe1c920675e96b627ab82c3169fbd6ec1cd",""
"Organizing Team",93,"3ab85095fb9091d1767f6182c1ecfe85a66b80537f03a5d61933e9c4f92c6b7d",""
"Organizing Team",94,"726a57e81ecaf31233f27b454b580f98bfd452743ea107bfe9f78d430b237380",""
