Timestamp,Username,What is your team?,What communication tool(s) did you use during #Open17ClimateGender? [Email],What communication tool(s) did you use during #Open17ClimateGender? [Whatsapp],What communication tool(s) did you use during #Open17ClimateGender? [Goodwall],What communication tool(s) did you use during #Open17ClimateGender? [Zoom],What communication tool(s) did you use during #Open17ClimateGender? [Google Meet],What communication tool(s) did you use during #Open17ClimateGender? [Wechat],What communication tool(s) did you use during #Open17ClimateGender? [Facebook groups/messenger],What communication tool(s) did you use during #Open17ClimateGender? [InnProgress],What communication tool(s) did you use during #Open17ClimateGender? [Other  (specify in next question)],"If you used other communication tool, please specify:",Did you have issues connecting with any of the platforms used during #Open17ClimateGender? [Zoom],Did you have issues connecting with any of the platforms used during #Open17ClimateGender? [Google Drive],Did you have issues connecting with any of the platforms used during #Open17ClimateGender? [Slack],Did you have issues connecting with any of the platforms used during #Open17ClimateGender? [Innprogress],How often did you connect with these people for feedback and support for your team project? [Coach],How often did you connect with these people for feedback and support for your team project? [Mentors],How often did you connect with these people for feedback and support for your team project? [Tool owners],What were the main difficulties for you when working in a team? Select all that apply.,What statements are correct? Select all that apply. ,How can citizen scientists help produce data on the status of SDGs?,"To which extend do you agree to the following statements? [Since I participated in the #Open17ClimateGender, my understanding of the SDGs has increased.]","To which extend do you agree to the following statements? [Since I participated in #Open17ClimateGender, I have improved my ability to pitch.]","To which extend do you agree to the following statements? [Since I participated in #Open17ClimateGender, I have improved my ability to address the SDGs.]","To which extend do you agree to the following statements? [Since I participated in #Open17ClimateGender, I have improved my ability to innovate.]",To which extend do you agree to the following statements? [​​The #Open17ClimateGender met the expectations I had of the program.],To which extend do you agree to the following statements? [The #Open17ClimateGender was useful to my project.],To which extend do you agree to the following statements? [My team received frequent feedback from the #O17ClimateGender team about our project.],To which extend do you agree to the following statements? [The provided feedback was useful to my project.],To which extend do you agree to the following statements? [I am going to use the knowledge that I gained during the #Open17ClimateGender to further develop my project.],To which extend do you agree to the following statements? [I would recommend the #Open17ClimateGender to a friend with similar interests],Please rate your overall satisfaction with the quality of the #Open17ClimateGender.,"If you could add one thing to th #Open17ClimateGender, what would it be?","If you could remove one thing to th #Open17ClimateGender, what would it be?","If you could change one thing to th #Open17ClimateGender, what would it be?",What did you personally achieve or learn through #Open17ClimateGender?,How do you intend to use what you have learned or experienced in #Open17ClimateGender in the future?,Which of the following crowd-sourcing tools did you use for your project? Select all that apply.,Is your project involved in data collection or analysis?,"Describe how you engaged, or plan to engage, with the relevant actors to implement your project.",Describe how you personnally contribute to your project?,What are the roadblocks you identify for the implementation of your project? How can we help?
2021/11/16 4:33:49 PM GMT+1,b532144e06c985674508c2c4095b527d32e1baf5391dc26e18ae27ee95a63942,A2: Women & Technology Against Climate Change,Never,Sometimes,Rarely,Never,,Never,Never,Often,Never,,Never,Never,Never,Never,Never,Never,Never,Coordinating schedules;Too much information,National Statistical Offices have been actively using citizen science data for monitoring SDGs since 2015.;I don't know,Analyze data;I don't know,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Satisfied,,,,,,None of the above,We analyze crowdsourced data,,,
2021/11/17 2:10:15 PM GMT+1,48cc4f1c2f87779b2f1868a28f97036370570f3e5f333efcc48b16cc0f5ade7f,T3: TEAM FOILED,Always,Always,Sometimes,Often,Rarely,Never,Never,Never,Never,,Never,Never,Never,Often,Two to three times a week,Once a week,Less than once a week,Time zone differences;Coordinating schedules;Team members not doing their share,National Statistical Offices have been actively using citizen science data for monitoring SDGs since 2015.;National Statistical Offices have reservations on the use of citizen science data due to quality considerations.;Impartiality (independence) and confidentiality are among key principles for official national data producers.,Collect data;Analyze data;Share own data,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Satisfied,"Maybe a way so people in other time zones meet with the coaches at other moments, so that we it doesnt count as we were absent while we were at school",,,"A lot about data collection and how it's useful, along with crowdsourcing",,CS Logger,We collect data that can help National Statistical Offices to monitor progress towards the SDGs;We analyze crowdsourced data,We want to collect data after a flood happen to give them to already existing organizations and emergency responders so that they can react faster and provide help as soon as posible.,I'm someone really educated  on data collection and I'm really passionate about these projects. ,Getting the volunteers
2021/11/17 3:01:38 PM GMT+1,4d1536bba97e1c168d66ea2babd5cfba99d48126783428f652d1663e7268f566,T6: Women & Technology Against Climate Change,Never,Always,Sometimes,Sometimes,Never,Never,Never,Rarely,Never,,Never,Never,Never,Never,Never,Never,Never,It takes too long to get things done,I don't know,Collect data;Analyze data,Agree,Neither disagree or agree,Agree,Agree,Neither disagree or agree,Agree,Agree,Strongly agree,Neither disagree or agree,Neither disagree or agree,Satisfied,,,,,,None of the above,We collect data that can help National Statistical Offices to monitor progress towards the SDGs,,,
2021/11/17 3:03:04 PM GMT+1,0102eda8e45af8edd703a97309c737d93271bf638950f9dfc970e9bfb808ce61,T6: Women & Technology Against Climate Change,Often,Never,Sometimes,Always,Never,Never,Never,Rarely,Never,,Never,Sometimes,Never,Never,Never,Never,Never,no problems,Impartiality (independence) and confidentiality are among key principles for official national data producers.,Collect data;Analyze data,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Satisfied,,,,,,None of the above,We collect data that can help National Statistical Offices to monitor progress towards the SDGs;We analyze crowdsourced data,,,
2021/11/17 3:04:42 PM GMT+1,ac7ca0726b908452d4565f2aa19be9e59bc9d11a32a8da9fc6a4d8b4a3af23e4,T4: PAM,Often,Always,Rarely,Often,Always,Never,Never,Rarely,Never,,Never,Never,Never,Rarely,Never,Never,Never,It takes too long to get things done,Data produced by citizen scientists are unbiased and ready to use for uploading on the official national SDG reporting portals.,Analyze data,Agree,Agree,Neither disagree or agree,Agree,Neither disagree or agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Satisfied,,,,,,Visual Cit,We analyze crowdsourced data,,,
2021/11/17 3:05:13 PM GMT+1,e693458c5e96b3121d8663ed9b8804026f6a400a0337331b7e7b10758dcc4007,T14: Eco Winners,Always,Sometimes,Sometimes,Often,Often,Never,Never,Rarely,Never,Telegram,Never,Never,Never,Often,Two to three times a week,Once a week,Once a week,nothing,Data produced by citizen scientists are unbiased and ready to use for uploading on the official national SDG reporting portals.,Collect data;Analyze data;Share own data;Enable data analytics and statistics cookies on devices,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very satisfied,I would love to meet the amazing organizers,nothing,nothing,"I learnt more about crowdsourcing and SDGs, I also learnt to build rapidly, meet deadlines and work with a team",I will develop my project and ensure it is scalable and being used in the industry,CS Logger,We collect data that can help National Statistical Offices to monitor progress towards the SDGs;We analyze crowdsourced data,All that can be found in my pitch deck,I engaged in product development (both hardware and software) and also market research,Wifi adaptation in our target community
2021/11/17 3:05:38 PM GMT+1,7af8f9c17503dc01e17ec76982a4e18dbc4dcc01b3db02dbe5f590ca307966de,T8: Climate Gender Justice,Always,Always,Sometimes,Often,Never,Never,Never,Sometimes,Often,Slack,Never,Sometimes,Never,Never,Never,Never,Never,Time zone differences;Coordinating schedules;Keeping others informed of my progress,National Statistical Offices have been actively using citizen science data for monitoring SDGs since 2015.;National Statistical Offices have reservations on the use of citizen science data due to quality considerations.;Impartiality (independence) and confidentiality are among key principles for official national data producers.,Collect data;Analyze data,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Satisfied,Breakout room discussion,,,crowdsourcing tools for data collection ,Use crowdsourcing tools for data collection ,Citizen Science Project Builder,We collect data that can help National Statistical Offices to monitor progress towards the SDGs,,,
2021/11/17 3:07:14 PM GMT+1,c91856df840ea68862fbce009783470a79866416df325629991523dfbac052b2,T1: SDesiGn (Old name: Rhythm of Bamboos),Rarely,Rarely,Sometimes,Always,Never,Never,Never,Sometimes,Always,Slack,Never,Never,Never,Sometimes,Less than once a week,Less than once a week,Less than once a week,Coordinating schedules;Too much information,National Statistical Offices have reservations on the use of citizen science data due to quality considerations.,Collect data;Analyze data;Share own data,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Satisfied,,,,,,Decidim4CS;Citizen Science Project Builder,We don't collect or analyze data,,,
2021/11/17 3:10:07 PM GMT+1,8eafbbb372954dfed652cc1eac4529515ca771008fb1fe6dd67bb0158dae3f23,T6: Women & Technology Against Climate Change,Often,Often,Sometimes,Often,Never,Never,Never,Rarely,Often,slack,Never,Never,Never,Never,Never,Never,Never,It takes too long to get things done,I don't know,Collect data;Analyze data;Share own data,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neither disagree or agree,Neither disagree or agree,Agree,Satisfied,Interviews to people affected by the problem,Personas,Personas,Ways to collect data,To continue our project,None of the above,We collect data that can help National Statistical Offices to monitor progress towards the SDGs,With a questionnaire,I created the slides of the pitches and collaborated in the creation of the pitches,The involvement of governments
2021/11/17 3:10:45 PM GMT+1,80339f4c3c45bdb2d6b9195891c50f19a90ea7e88fd544d49f258e5ca609b514,T10: Water Warriors,Always,Always,Rarely,Often,Never,Never,Never,Sometimes,Never,,Never,Never,Sometimes,Sometimes,Less than once a week,Less than once a week,Less than once a week,Keeping others informed of my progress,Data produced by citizen scientists are unbiased and ready to use for uploading on the official national SDG reporting portals.;National Statistical Offices have been actively using citizen science data for monitoring SDGs since 2015.,Analyze data;Enable data analytics and statistics cookies on devices,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Very satisfied,"use an alternative communication method in which we are monitored (a part for slack), since it is not so known and comfortable for new users","Video on goodwall, I was not aware of goodwall existence before the challenge","Nothing significantly, I think it was very well organized",I had great feedback in terms of innovations and possibility to develop new ideas,"I would like to develop more my project, in PhD studies",Visual Cit;Citizen Science Project Builder,We collect data that can help National Statistical Offices to monitor progress towards the SDGs;We analyze crowdsourced data,"We want to be involved in already existing applications at first, with the final aim to become independent. There are many organizations (GreenPeace, CAI, FAI, WWF, ecc.) that are involved in climate issues. We would like to make our application as a branch supported by an already existing application (feeding our app with new data as soon as we collect it). Then, we aim to get new users in this way and to become independent.","I was the group leader. I studied for the coordination of group task, idea development, presentation and results proposal. I managed also our brainstorming sessions to develop and innovate.", We would like to develop skills about realizing the global mapping of emergencies. We need to develop natural processing skills and data mining techniques for practical implementation.
