"","From","To","From_Team","To_Team","channel","timestamp","type"
"1","U02JTSE3ESV","U02GNT00XNJ","A5: Donate Water Project","Organizing Team","ask_a_coach","1635356485.003000","mention"
"2","U02H9L293M4","U02GNT00XNJ","Organizing Team","Organizing Team","0_announcements_read_only","1637144771.034100","mention"
"4","U02H9L293M4","U02GNT00XNJ","Organizing Team","Organizing Team","0_announcements_read_only","1635938282.007800","mention"
"5","U02H9L293M4","U02GNT00XNJ","Organizing Team","Organizing Team","surveys_troubleshoot","1635857922.000900","mention"
"6","U02H9L293M4","U02GNT00XNJ","Organizing Team","Organizing Team","0_announcements_read_only","1634763350.018500","mention"
"9","U02JH0V1V8U","U02GNT00XNJ","C4: Climate Gender Justice","Organizing Team","inprogress-troubleshoot","1635857834.018200","mention"
"10","U02JEFQUSBC","U02H9L293M4","A5: Donate Water Project","Organizing Team","crowd4sdg-project","1634809395.001400","mention"
"11","U02J7P7FRM4","U02H9L293M4","C3: WOMER","Organizing Team","ask_a_coach","1636448895.007000","mention"
"12","U02JDPHMGLE","U02H9L293M4","A5: Donate Water Project","Organizing Team","team-donate-water-project","1635521461.009100","mention"
"13","U02H9L293M4","U02H9L293M4","Organizing Team","Organizing Team","0_announcements_read_only","1636649417.009300","mention"
"14","U02H9L293M4","U02H9L293M4","Organizing Team","Organizing Team","0_announcements_read_only","1636649417.009300","mention"
"15","U02JEFQUSBC","U02H9L293M4","A5: Donate Water Project","Organizing Team","ask_team_o17","1635201004.000600","mention"
"16","U02KFCYC49F","U02H9L293M4","Tool Owner","Organizing Team","team-women-for-sustainable-world","1636965212.000100","mention"
"17","U02JEFQUSBC","U02H9L293M4","A5: Donate Water Project","Organizing Team","0_announcements_read_only","1635181707.012200","mention"
"18","U02JDPHMGLE","U02H9L293M4","A5: Donate Water Project","Organizing Team","team-donate-water-project","1635521322.009000","mention"
"19","U02JEFQUSBC","U02H9L293M4","A5: Donate Water Project","Organizing Team","0_announcements_read_only","1636196499.013700","mention"
"20","U02JGMKJ7PW","U02H9L293M4","B1: Water Warriors","Organizing Team","team-water-warriors","1636451947.001000","mention"
"21","U02H9L293M4","U02H9L293M4","Organizing Team","Organizing Team","0_announcements_read_only","1635179164.012100","mention"
"22","U02HZQSS19V","U02H9L293M4","C4: Climate Gender Justice","Organizing Team","general","1635131227.013100","mention"
"23","U02JH0V1V8U","U02H9L293M4","C4: Climate Gender Justice","Organizing Team","climategenderjustice","1635857574.000600","mention"
"24","U02JH0V1V8U","U02H9L293M4","C4: Climate Gender Justice","Organizing Team","climategenderjustice","1635858587.001600","mention"
"25","U02HZR5FQVD","U02H9L293M4","A4: Flood Rangers","Organizing Team","flood-rangers","1636429212.000100","mention"
"26","U02JEFQUSBC","U02H9L293M4","A5: Donate Water Project","Organizing Team","0_announcements_read_only","1635336352.008000","mention"
"27","U02K300F449","U02H9L293M4","B5: Rights of Climate","Organizing Team","rights-of-climate","1636958354.000600","mention"
"28","U02HZQSS19V","U02H9L293M4","C4: Climate Gender Justice","Organizing Team","crowd4sdg-project","1634794037.001000","mention"
"29","U02JBG5JMK7","U02H9L293M4","C1: Andapé Institute","Organizing Team","ask_team_o17","1635275046.004700","mention"
"30","U02H9L293M4","U02H9L293M4","Organizing Team","Organizing Team","0_announcements_read_only","1634763350.018500","mention"
"31","U02KFRM6A2U","U02H9L293M4","B1: Water Warriors","Organizing Team","team-water-warriors","1636923839.001300","mention"
"32","U02JH0V1V8U","U02H9L293M4","C4: Climate Gender Justice","Organizing Team","climategenderjustice","1635922500.005000","mention"
"33","U02K300F449","U02H9L293M4","B5: Rights of Climate","Organizing Team","ask_team_o17","1635307137.014600","mention"
"34","U02JEFQUSBC","U02H9L293M4","A5: Donate Water Project","Organizing Team","ask_team_o17","1635204173.001400","mention"
"35","U02J0CKS2BZ","U02H9L293M4","C3: WOMER","Organizing Team","inprogress-troubleshoot","1635828794.013400","mention"
"36","U02JBG5JMK7","U02H9L293M4","C1: Andapé Institute","Organizing Team","team-andapé-institute","1637084606.007300","mention"
"37","U02JTSE3ESV","U02H9L293M4","A5: Donate Water Project","Organizing Team","inprogress-troubleshoot","1635580503.003700","mention"
"38","U02JEFQUSBC","U02H9L293M4","A5: Donate Water Project","Organizing Team","0_announcements_read_only","1634920114.008300","mention"
"39","U02JEFQUSBC","U02H9L293M4","A5: Donate Water Project","Organizing Team","crowd4sdg-project","1634809640.003100","mention"
"40","U02JDPHMGLE","U02H9L293M4","A5: Donate Water Project","Organizing Team","inprogress-troubleshoot","1634946402.004600","mention"
"41","U02HZQT4EET","U02H9L293M4","C1: Andapé Institute","Organizing Team","team-andapé-institute","1637084431.006300","mention"
"42","U02HZQN7B1V","U02H9L293M4","A1: Up Get App/CitiCERN","Organizing Team","inprogress-troubleshoot","1634947841.006000","mention"
"43","U02JEFQUSBC","U02H9L293M4","A5: Donate Water Project","Organizing Team","general","1634979421.007400","mention"
