"","user","timestamp","message","channel","Team"
"1","U02GNT00XNJ",2021-10-25 10:41:36,"Hey! I'm just in the meeting with the people doing the team formation. They will come back to you today normally :slightly_smiling_face:.","inprogress-troubleshoot","Organizing Team"
"3","U02GNT00XNJ",2021-10-27 16:23:53,":chart_with_upwards_trend: Please take 3 minutes to fill the ""<https://bit.ly/Crowd4SDG-Surveys|Week 1 Open17 survey>""","0_announcements_read_only","Organizing Team"
"5","U02GNT00XNJ",2021-11-17 16:58:52,"You can also try to guess where you are in this network, and who is the central node! I will be sharing one with specific colors for teams so that you can identify yourself (or at least your team).","0_announcements_read_only","Organizing Team"
"7","U02GNT00XNJ",2021-11-02 16:39:55,"Hi! apologies for that. Send me your email in PM and I'll troubleshoot it :slightly_smiling_face:","inprogress-troubleshoot","Organizing Team"
"8","U02GNT00XNJ",2021-11-08 13:02:47,"Hi <!here>!
How was your weekend?

:chart_with_upwards_trend: Did you get a chance to<https://bit.ly/Crowd4SDG-Surveys| fill the Week1 and Week2 surveys>?
If not, no worries, you can still do it now and it only takes 3 minutes.

Thank you for helping us improve the program :pray:!","0_announcements_read_only","Organizing Team"
"11","U02GNT00XNJ",2021-11-10 10:04:36,"Look at how diverse your cohort is! In age, backgrounds, or location!
These are examples of very preliminary results but I felt it was worth sharing with you.
I am meeting with our data analyst this afternoon and with our team leader to discuss your responses. If you're filling all the weekly surveys by next week we will be able to show you some nice network on your teams based on the questions you answered! You can look at <https://interactiondatalab.com/|the interaction data lab website> for some examples.","0_announcements_read_only","Organizing Team"
"13","U02GNT00XNJ",2021-10-27 16:22:56,"Hi <!channel>! Amazing presentations, congrats!","0_announcements_read_only","Organizing Team"
"14","U02GNT00XNJ",2021-10-20 16:33:14,"Hi people! The tech team informed me that one of the reason why you may not be able to fill in the ""team formation"" survey is because you didn't use the same email as in the registration form.
For this, two options:
• Tell us what is the main email you are going to use during Open17, and the one you used to fill the registration form
• Or <https://bit.ly/crowd4SDG-surveys-registrationform|fill the registration form> if you haven't already","surveys_troubleshoot","Organizing Team"
"16","U02GNT00XNJ",2021-11-17 16:57:18,":bulb:It looks like you engaged in very diverse activities to pitch each week!
Here are some figures about tasks and interactions that you declared in the weekly surveys, and Slack public channels activities.
More to come! You can fill the surveys in the meantime :stuck_out_tongue_winking_eye:","0_announcements_read_only","Organizing Team"
"18","U02GNT00XNJ",2021-10-20 16:30:42,"Dear all,

:round_pushpin:In this link, you will find all of the different surveys we ask you to fill: <https://bit.ly/Crowd4SDG-Surveys>

Remember, you should you *use the same email you used in the registration form.* 

:white_check_mark: Make sure you filled the registration form, you cannot participate without it!
• <https://bit.ly/crowd4SDG-surveys-registrationform|Survey ""Registration Form"">
You can use the channel <#C02JTH1QYKT|surveys_troubleshoot> or contact me directly if you have any issue.","0_announcements_read_only","Organizing Team"
"20","U02GNT00XNJ",2021-11-17 12:57:02,":wave: Hello <!here>!
Here are the two forms I'll ask you to fill today:
• The usual weekly forms (feel all the weeks if you haven't yet): <https://bit.ly/Crowd4SDG-Surveys> 
• The Final satisfaction form: <https://bit.ly/Crowd4SDG-Surveys-finalform>
See you in a few minutes!","0_announcements_read_only","Organizing Team"
"21","U02GNT00XNJ",2021-11-02 16:39:12,"Hi <@U02JH0V1V8U>, would you mind sharing your email with me in PM?","surveys_troubleshoot","Organizing Team"
"22","U02GNT00XNJ",2021-11-03 13:45:12,"Hey <!channel>!
How was your week? We look forward to hearing about your pitch today.

Let us know how your 2nd week went and feel free to *share your feedback*! This will help the organization team design the best program for you!

:arrow_right:<https://bit.ly/Crowd4SDG-Surveys| Fill the Week2 survey here>, it takes 3 minutes.

For those who haven’t had the chance to fill the survey of the week1, you can still do it now, using the same link!

:woman-raising-hand:As always, feel free to contact to me directly if you have any issue.","0_announcements_read_only","Organizing Team"
"24","U02GNT00XNJ",2021-11-24 18:27:24,"Hello <!here>!

A few of you haven't fill the surveys, yet. Would you mind taking a few minutes to do so? :pray:

Here are the links!
• Weekly forms: <https://bit.ly/Crowd4SDG-Surveys>
• The Final satisfaction form: <https://bit.ly/Crowd4SDG-Surveys-finalform>
Thank you very much!","general","Organizing Team"
"25","U02GNT00XNJ",2021-11-10 09:58:02,"Hi <!here>!

The survey to share your feedback on last week sessions, and tell us how your work went is ready!

:arrow_right:<https://igem-ties.info/crowd4sdg/| You can fill the week 3 survey here>

See you later!","0_announcements_read_only","Organizing Team"
"26","U02H9L293M4",2021-10-20 10:10:05,"Dear Participants ,
Welcome to the Open17 Water Challenge Communication Channel.
If you are new to Slack, feel free to explore. start with the channel <#C02JT4RN11N|introductions> - Say a Hi and introduce yourself!
There are several channels here, which you see in the left panel. <#C02JS3ZL6UR|0_channel-directory>  index to all the existing channels","0_announcements_read_only","Organizing Team"
"27","U02H9L293M4",2021-10-20 13:36:06,"*Information channels (read-only):*
• *<#C02HWLNR4NA|0_announcements_read_only>*: Here you will get news during the whole open 17 session.
• *<#C02J3BPQZAN|0_useful_tools_resources>:* Some tools we think might be helpful for your team.
• *<#C02JS3ZL6UR|0_channel-directory>:* Explanation (once again) on which channel has which scope.(_will be updated regularly_)
• *<#C02J0BWEMV3|0_team_info>:* Information on team names &amp; details (_will be updated as we progess_)
• *<#C02HNPTHLAK|0_know_your_mentors>  :* List of Mentors and Coaches, their Slack IDs and Domain Expertise (_will be updated regularly)_
_We prefixed these channels with 0 so that Slack sorts them to the very top for you #lifehack_

*General Exchange Channels :*
• *<#C02JT4RN11N|introductions>*: Introduce yourselves, share pleasantries.
• *<#C02JSR006N5|inprogress-troubleshoot>  :* Troubleshoot for documenting platform inprogress
• *<#C02J3CX43QS|ask_a_coach>:* Project related queries.
• *<#C02HNMTDHM5|ask_team_o17>:* Program related queries","0_announcements_read_only","Organizing Team"
"28","U02H9L293M4",2021-10-20 16:24:38,"<!here> raise your issues related to the surveys here in this channel <#C02JTH1QYKT|survey_troubleshoot_camille>","0_announcements_read_only","Organizing Team"
"29","U02H9L293M4",2021-10-22 11:52:22,"Hey <@U02JEFGAJRG> lovely to see you again here with us. Please do initiate the conversation in the <#C02JT4RN11N|introductions> :) &amp; <@U02HZR5FQVD> You too :)","general","Organizing Team"
"30","U02H9L293M4",2021-10-20 17:36:01,"<!here> Please use <#C02HNMTDHM5|ask_team_o17> if you have any queries related to the program.

You will shortly receive an email with all the necessary information and link to the share drive.","0_announcements_read_only","Organizing Team"
"31","U02H9L293M4",2021-10-20 22:55:50,"Dear All,

Thank you for participating in today’s first Open17 coaching session! It was great to meet you all and we are excited to see your development throughout this program!
Following today’s session, *please read carefully* the instructions below.

1. Please upload the signed copy of your *consent form*  in the<https://drive.google.com/drive/folders/1ktGxHNZzzVosVcdqLj_50N_ji2nwEpsi| following link> *ASAP* . Please use your Full Name as your file name.
2. *Reminder!!* In order to facilitate the team formation it's extremely important you _finish the surveys *ASAP .*_
    ◦ <https://bit.ly/crowd4SDG-Surveys-teampreference|Survey ""Pitch preference""> - where you rank the pitches from 1 to 5 based on how interesting you found each idea.
    ◦ <https://bit.ly/Crowd4SDG-Surveys|Survey ""Team formation""> - You have to fill this survey on your personality and competencies so that we can suggest better team partners!  If you have any issues related to this survey, please contact <@U02GNT00XNJ> <#C02JTH1QYKT|surveys_troubleshoot>
3. You can find all the materials of the first session session (the slides, the recording of today’s session and important links) in the following <https://drive.google.com/drive/folders/1NxazPgVFXFNX6cknKOnoA-SeOxTJS_GJ?usp=sharing|Google Drive Folder>.
4. Please avoid sharing the link for slack with anybody who is not officially in the #Open17ClimateGender Challenge.
5. Once you create an account on <https://innprogress.app.cern.ch/|Inprogress>, please alert <@U02H9L293M4> <#C02JSR006N5|inprogress-troubleshoot> 
6. You will be assigned your teams by Friday, so you could start working on your projects. 
 *HOMEWORK for next session (Wednesday 27th October 2020, 12:00 GMT)*

• Please Review the<https://drive.google.com/drive/folders/1AEViZtGdGw716omkLVMF9JA2R536B3Pr?usp=sharing| Video> about the Open17 Climate Gender Challenges before the next session. 
• Reformulate the project idea as a Team and then redefine your problem definition (See Rosy’s presentation). 
• Prepare a 5-minute pitch (max. 5 slides) which you will present in next week’s session.
Reach out to _*<#C02HNMTDHM5|ask_team_o17>  *_if you need further clarifications. If you choose to email, please write to <mailto:info@openseventeen.org|info@openseventeen.org> and make sure you specify the issue in the subject. 

Wishing you all a successful first week. We can't wait to see you in Session 2!","0_announcements_read_only","Organizing Team"
