"","From","To","Survey_id","Question","From_team","To_team"
"1",40,"16",18,"Which of these people did you know personally before?","T5: WOMER","T1: SDesiGn (Old name: Rhythm of Bamboos)"
"2",88,"16",18,"Which of these people did you know personally before?","T1: SDesiGn (Old name: Rhythm of Bamboos)","T1: SDesiGn (Old name: Rhythm of Bamboos)"
"3",88,"16",18,"Who did you seek advice from last week?","T1: SDesiGn (Old name: Rhythm of Bamboos)","T1: SDesiGn (Old name: Rhythm of Bamboos)"
"4",88,"16",18,"Who did you work with last week?","T1: SDesiGn (Old name: Rhythm of Bamboos)","T1: SDesiGn (Old name: Rhythm of Bamboos)"
"5",88,"16",19,"Who did you seek advice from last week?","T1: SDesiGn (Old name: Rhythm of Bamboos)","T1: SDesiGn (Old name: Rhythm of Bamboos)"
"6",88,"16",22,"Who did you work with last week?","T1: SDesiGn (Old name: Rhythm of Bamboos)","T1: SDesiGn (Old name: Rhythm of Bamboos)"
"7",88,"16",19,"Who did you work with last week?","T1: SDesiGn (Old name: Rhythm of Bamboos)","T1: SDesiGn (Old name: Rhythm of Bamboos)"
"8",88,"16",23,"Who did you work with last week?","T1: SDesiGn (Old name: Rhythm of Bamboos)","T1: SDesiGn (Old name: Rhythm of Bamboos)"
"9",88,"16",23,"Who did you seek advice from last week?","T1: SDesiGn (Old name: Rhythm of Bamboos)","T1: SDesiGn (Old name: Rhythm of Bamboos)"
"10",4,"42",23,"Who did you seek advice from last week?","T3: TEAM FOILED","Organizing Team"
"11",4,"42",18,"Who did you seek advice from last week?","T3: TEAM FOILED","Organizing Team"
"12",12,"42",19,"Who did you work with last week?","T14: Eco Winners","Organizing Team"
"13",4,"42",23,"Who did you work with last week?","T3: TEAM FOILED","Organizing Team"
"14",28,"42",23,"Who did you seek advice from last week?","T9: DonateWater","Organizing Team"
"15",4,"42",19,"Who did you work with last week?","T3: TEAM FOILED","Organizing Team"
"16",22,"42",22,"Who did you seek advice from last week?","T3: TEAM FOILED","Organizing Team"
"17",5,"42",19,"Who did you seek advice from last week?","T8: Climate Gender Justice","Organizing Team"
"18",28,"42",22,"Who did you seek advice from last week?","T9: DonateWater","Organizing Team"
"19",5,"42",19,"Who did you work with last week?","T8: Climate Gender Justice","Organizing Team"
"20",15,"42",23,"Who did you work with last week?","T9: DonateWater","Organizing Team"
"21",15,"42",19,"Who did you seek advice from last week?","T9: DonateWater","Organizing Team"
"22",4,"42",18,"Who did you work with last week?","T3: TEAM FOILED","Organizing Team"
"23",5,"42",23,"Who did you seek advice from last week?","T8: Climate Gender Justice","Organizing Team"
"24",19,"42",18,"Who did you work with last week?","T11: Rights of Climate","Organizing Team"
"25",12,"42",22,"Who did you work with last week?","T14: Eco Winners","Organizing Team"
"26",26,"42",22,"Who did you seek advice from last week?","T10: Water Warriors","Organizing Team"
"27",15,"42",19,"Who did you work with last week?","T9: DonateWater","Organizing Team"
"28",7,"42",22,"Who did you seek advice from last week?","T5: WOMER","Organizing Team"
"29",40,"42",22,"Who did you work with last week?","T5: WOMER","Organizing Team"
"30",15,"42",22,"Who did you seek advice from last week?","T9: DonateWater","Organizing Team"
"31",26,"42",23,"Who did you seek advice from last week?","T10: Water Warriors","Organizing Team"
"32",26,"42",23,"Who did you work with last week?","T10: Water Warriors","Organizing Team"
"33",40,"42",23,"Who did you work with last week?","T5: WOMER","Organizing Team"
"34",6,"42",19,"Who did you seek advice from last week?","T4: PAM","Organizing Team"
"35",15,"42",22,"Who did you work with last week?","T9: DonateWater","Organizing Team"
"36",28,"42",18,"Who did you seek advice from last week?","T9: DonateWater","Organizing Team"
"37",28,"42",18,"Who did you work with last week?","T9: DonateWater","Organizing Team"
"38",10,"42",19,"Who did you seek advice from last week?","T9: DonateWater","Organizing Team"
"39",7,"42",18,"Who did you work with last week?","T5: WOMER","Organizing Team"
"40",19,"42",23,"Who did you seek advice from last week?","T11: Rights of Climate","Organizing Team"
"41",15,"42",23,"Who did you seek advice from last week?","T9: DonateWater","Organizing Team"
"42",4,"42",22,"Who did you work with last week?","T3: TEAM FOILED","Organizing Team"
"43",23,"42",19,"Who did you work with last week?","T12: Women 4 Sustainable World","Organizing Team"
"44",19,"42",23,"Who did you work with last week?","T11: Rights of Climate","Organizing Team"
"45",37,"42",22,"Who did you seek advice from last week?","T13: Andapé Institute","Organizing Team"
"46",22,"42",22,"Who did you work with last week?","T3: TEAM FOILED","Organizing Team"
"47",19,"42",18,"Who did you seek advice from last week?","T11: Rights of Climate","Organizing Team"
"48",11,"42",23,"Who did you seek advice from last week?","T8: Climate Gender Justice","Organizing Team"
"49",26,"42",18,"Who did you work with last week?","T10: Water Warriors","Organizing Team"
"50",11,"42",18,"Who did you seek advice from last week?","T8: Climate Gender Justice","Organizing Team"
"51",14,"42",18,"Who did you work with last week?","T2: Flood Rangers","Organizing Team"
"52",5,"42",23,"Who did you work with last week?","T8: Climate Gender Justice","Organizing Team"
"53",39,"42",19,"Who did you work with last week?","T13: Andapé Institute","Organizing Team"
"54",11,"42",19,"Who did you work with last week?","T8: Climate Gender Justice","Organizing Team"
"55",26,"42",22,"Who did you work with last week?","T10: Water Warriors","Organizing Team"
"56",39,"42",18,"Who did you work with last week?","T13: Andapé Institute","Organizing Team"
"57",11,"42",22,"Who did you seek advice from last week?","T8: Climate Gender Justice","Organizing Team"
"58",19,"42",19,"Who did you work with last week?","T11: Rights of Climate","Organizing Team"
"59",19,"42",22,"Who did you seek advice from last week?","T11: Rights of Climate","Organizing Team"
"60",23,"42",22,"Who did you seek advice from last week?","T12: Women 4 Sustainable World","Organizing Team"
"61",10,"42",18,"Who did you seek advice from last week?","T9: DonateWater","Organizing Team"
"62",30,"42",18,"Who did you seek advice from last week?","T6: Women & Technology Against Climate Change","Organizing Team"
"63",19,"42",22,"Who did you work with last week?","T11: Rights of Climate","Organizing Team"
"64",88,"42",18,"Who did you seek advice from last week?","T1: SDesiGn (Old name: Rhythm of Bamboos)","Organizing Team"
"65",23,"42",23,"Who did you seek advice from last week?","T12: Women 4 Sustainable World","Organizing Team"
"66",19,"42",19,"Who did you seek advice from last week?","T11: Rights of Climate","Organizing Team"
"67",23,"42",19,"Who did you seek advice from last week?","T12: Women 4 Sustainable World","Organizing Team"
"68",40,"42",19,"Who did you work with last week?","T5: WOMER","Organizing Team"
"69",40,"42",22,"Who did you seek advice from last week?","T5: WOMER","Organizing Team"
"70",28,"42",19,"Who did you seek advice from last week?","T9: DonateWater","Organizing Team"
"71",23,"42",22,"Who did you work with last week?","T12: Women 4 Sustainable World","Organizing Team"
"72",38,"42",18,"Who did you work with last week?","T13: Andapé Institute","Organizing Team"
"73",12,"42",18,"Who did you work with last week?","T14: Eco Winners","Organizing Team"
"74",26,"42",18,"Who did you seek advice from last week?","T10: Water Warriors","Organizing Team"
"75",20,"42",18,"Who did you work with last week?","T2: Flood Rangers","Organizing Team"
"76",23,"42",23,"Who did you work with last week?","T12: Women 4 Sustainable World","Organizing Team"
"77",23,"42",18,"Who did you seek advice from last week?","T12: Women 4 Sustainable World","Organizing Team"
"78",20,"42",18,"Who did you seek advice from last week?","T2: Flood Rangers","Organizing Team"
"79",40,"42",23,"Who did you seek advice from last week?","T5: WOMER","Organizing Team"
"80",40,"42",19,"Who did you seek advice from last week?","T5: WOMER","Organizing Team"
"81",26,"42",19,"Who did you seek advice from last week?","T10: Water Warriors","Organizing Team"
"82",40,"42",18,"Who did you seek advice from last week?","T5: WOMER","Organizing Team"
"83",12,"42",22,"Who did you seek advice from last week?","T14: Eco Winners","Organizing Team"
"84",40,"7",22,"Who did you work with last week?","T5: WOMER","T5: WOMER"
"85",40,"7",19,"Who did you work with last week?","T5: WOMER","T5: WOMER"
"86",40,"7",23,"Who did you work with last week?","T5: WOMER","T5: WOMER"
"87",4,"44",23,"Who did you seek advice from last week?","T3: TEAM FOILED","Organizing Team"
"88",24,"44",23,"Who did you seek advice from last week?","T6: Women & Technology Against Climate Change","Organizing Team"
"89",7,"44",23,"Who did you seek advice from last week?","T5: WOMER","Organizing Team"
"90",30,"44",22,"Who did you seek advice from last week?","T6: Women & Technology Against Climate Change","Organizing Team"
"91",40,"44",23,"Who did you seek advice from last week?","T5: WOMER","Organizing Team"
"92",36,"44",23,"Who did you seek advice from last week?","T6: Women & Technology Against Climate Change","Organizing Team"
"93",39,"44",22,"Who did you work with last week?","T13: Andapé Institute","Organizing Team"
"94",22,"44",22,"Who did you seek advice from last week?","T3: TEAM FOILED","Organizing Team"
"95",30,"44",23,"Who did you seek advice from last week?","T6: Women & Technology Against Climate Change","Organizing Team"
"96",4,"44",23,"Who did you work with last week?","T3: TEAM FOILED","Organizing Team"
"97",22,"44",23,"Who did you work with last week?","T3: TEAM FOILED","Organizing Team"
"98",38,"44",19,"Who did you seek advice from last week?","T13: Andapé Institute","Organizing Team"
"99",36,"44",23,"Who did you work with last week?","T6: Women & Technology Against Climate Change","Organizing Team"
"100",39,"44",19,"Who did you seek advice from last week?","T13: Andapé Institute","Organizing Team"
"101",4,"22",18,"Which of these people did you know personally before?","T3: TEAM FOILED","T3: TEAM FOILED"
"102",4,"22",23,"Who did you seek advice from last week?","T3: TEAM FOILED","T3: TEAM FOILED"
"103",4,"22",22,"Who did you work with last week?","T3: TEAM FOILED","T3: TEAM FOILED"
"104",4,"22",19,"Who did you seek advice from last week?","T3: TEAM FOILED","T3: TEAM FOILED"
"105",4,"22",23,"Who did you work with last week?","T3: TEAM FOILED","T3: TEAM FOILED"
"106",4,"22",18,"Who did you work with last week?","T3: TEAM FOILED","T3: TEAM FOILED"
"107",4,"22",19,"Who did you work with last week?","T3: TEAM FOILED","T3: TEAM FOILED"
"108",4,"22",18,"Who did you seek advice from last week?","T3: TEAM FOILED","T3: TEAM FOILED"
"109",11,"5",23,"Who did you seek advice from last week?","T8: Climate Gender Justice","T8: Climate Gender Justice"
"110",4,"5",18,"Which of these people did you know personally before?","T3: TEAM FOILED","T8: Climate Gender Justice"
